9135;U.T.C;1
9200;DM 27 BD PALLET POLYPACK;1
9210;DM GRANEL;1
9220;EUROBOX;1
9225;DM EUBOX-EU-EEPB-6;1
9230;DM PALLET;1
9245;DM PALLET BVC;1
9260;ROSY PALLET BVC;1
9270;U.T.C PALLET BVC;1
9275;U.T.C PALLET POLY P.;1
9280;U.T.C GRANEL;1
9300;DM ITALIANO;1
9330;UTC MEDITERRANEO BVC PALLET;1
